Time/S,Force/N
2.56,-0.2253215
2.57,-0.2252817
2.58,-0.2251228
2.59,-0.2250512
2.6,-0.2252102
2.61,-0.2255201
2.62,-0.2257188
2.63,-0.2255201
2.64,-0.2250354
2.65,-0.2247493
2.66,-0.2249479
2.67,-0.225393
2.68,-0.2255837
2.69,-0.2253612
2.7,-0.22494
2.71,-0.2247254
2.72,-0.2249002
2.73,-0.225234
2.74,-0.2254566
2.75,-0.2254486
2.76,-0.2252261
2.77,-0.2249956
2.78,-0.22494
2.79,-0.2251387
2.8,-0.2255201
2.81,-0.2257029
2.82,-0.2254486
2.83,-0.2249638
2.84,-0.2247175
2.85,-0.2250512
2.86,-0.2256791
2.87,-0.2258778
2.88,-0.2254168
2.89,-0.2249241
2.9,-0.2249161
2.91,-0.2253215
2.92,-0.2256314
2.93,-0.225544
2.94,-0.2252102
2.95,-0.2249638
2.96,-0.2249877
2.97,-0.2252579
2.98,-0.225544
2.99,-0.2256076
3,-0.225393
3.01,-0.225083
3.02,-0.2249877
3.03,-0.2252499
3.04,-0.2255837
3.05,-0.2255599
3.06,-0.2251704
3.07,-0.2248843
3.08,-0.2250274
3.09,-0.2254327
3.1,-0.2256552
3.11,-0.2254327
3.12,-0.2249956
3.13,-0.2248367
3.14,-0.2251069
3.15,-0.2254804
3.16,-0.2254963
3.17,-0.2251625
3.18,-0.2249161
3.19,-0.2249479
3.2,-0.2251228
3.21,-0.2253056
3.22,-0.2254089
3.23,-0.2253215
3.24,-0.2251228
3.25,-0.2249718
3.26,-0.2250274
3.27,-0.2252817
3.28,-0.2254804
3.29,-0.2253612
3.3,-0.2250354
3.31,-0.2248764
3.32,-0.2251069
3.33,-0.2255201
3.34,-0.2256473
3.35,-0.2253691
3.36,-0.2249956
3.37,-0.2248367
3.38,-0.2249956
3.39,-0.2253373
3.4,-0.2255201
3.41,-0.2253691
3.42,-0.2250115
3.43,-0.2247493
3.44,-0.2248367
3.45,-0.225234
3.46,-0.2255837
3.47,-0.2254566
3.48,-0.2249241
3.49,-0.2245903
3.5,-0.2248526
3.51,-0.2254725
3.52,-0.2258778
3.53,-0.2257268
3.54,-0.2252817
3.55,-0.2250989
3.56,-0.2252976
3.57,-0.2255837
3.58,-0.2256155
3.59,-0.2254089
3.6,-0.2251625
3.61,-0.2249877
3.62,-0.2249479
3.63,-0.2251228
3.64,-0.2253691
3.65,-0.225385
3.66,-0.225083
3.67,-0.2247175
3.68,-0.22463
3.69,-0.2248526
3.7,-0.2251069
3.71,-0.2251069
3.72,-0.2248843
3.73,-0.2248049
3.74,-0.2250354
3.75,-0.225385
3.76,-0.2254804
3.77,-0.2252817
3.78,-0.2250354
3.79,-0.2250274
3.8,-0.225234
3.81,-0.2254804
3.82,-0.2255042
3.83,-0.225234
3.84,-0.22494
3.85,-0.2249161
3.86,-0.2251704
3.87,-0.2254963
3.88,-0.2255837
3.89,-0.2252738
3.9,-0.2248764
3.91,-0.2248049
3.92,-0.2250751
3.93,-0.225393
3.94,-0.2253612
3.95,-0.2250274
3.96,-0.2248049
3.97,-0.2249161
3.98,-0.2252102
3.99,-0.2253612
4,-0.2252261
4.01,-0.2249877
4.02,-0.2249241
4.03,-0.2250989
4.04,-0.2253453
4.05,-0.2254327
4.06,-0.2253056
4.07,-0.225083
4.08,-0.2249479
4.09,-0.2250115
4.1,-0.225234
4.11,-0.2254089
4.12,-0.2254089
4.13,-0.2251863
4.14,-0.2249161
4.15,-0.2249161
4.16,-0.2251704
4.17,-0.2253453
4.18,-0.2252499
4.19,-0.2250751
4.2,-0.2250989
4.21,-0.2252579
4.22,-0.2252976
4.23,-0.2251228
4.24,-0.2248526
4.25,-0.2246618
4.26,-0.2246777
4.27,-0.2248526
4.28,-0.2250512
4.29,-0.2251704
4.3,-0.2251069
4.31,-0.2248843
4.32,-0.2247175
4.33,-0.2248843
4.34,-0.2253453
4.35,-0.2256155
4.36,-0.2253691
4.37,-0.2248605
4.38,-0.2246618
4.39,-0.2249718
4.4,-0.2254566
4.41,-0.2256314
4.42,-0.2253612
4.43,-0.2250274
4.44,-0.2250115
4.45,-0.2252579
4.46,-0.2254327
4.47,-0.225393
4.48,-0.225234
4.49,-0.2250354
4.5,-0.2249479
4.51,-0.2249956
4.52,-0.2250512
4.53,-0.2250115
4.54,-0.2249002
4.55,-0.2248287
4.56,-0.2248764
4.57,-0.2251228
4.58,-0.225393
4.59,-0.225393
4.6,-0.2250274
4.61,-0.2246618
4.62,-0.224789
4.63,-0.2252261
4.64,-0.2254963
4.65,-0.2254168
4.66,-0.2251466
4.67,-0.2249241
4.68,-0.2249161
4.69,-0.225083
4.7,-0.2252976
4.71,-0.225393
4.72,-0.2252499
4.73,-0.2249479
4.74,-0.2248367
4.75,-0.2250592
4.76,-0.2254089
4.77,-0.2254804
4.78,-0.2251704
4.79,-0.2248049
4.8,-0.2248367
4.81,-0.2252261
4.82,-0.2255599
4.83,-0.2255201
4.84,-0.2252102
4.85,-0.2249877
4.86,-0.2251069
4.87,-0.2253215
4.88,-0.2252817
4.89,-0.2250592
4.9,-0.2248287
4.91,-0.2247254
4.92,-0.224789
4.93,-0.2249877
4.94,-0.2251387
4.95,-0.2250751
4.96,-0.2248843
4.97,-0.2247651
4.98,-0.22494
4.99,-0.225385
5,-0.2256552
5.01,-0.2254168
5.02,-0.2249002
5.03,-0.224638
5.04,-0.2249002
5.05,-0.2254089
5.06,-0.2256711
5.07,-0.2255042
5.08,-0.2251466
5.09,-0.2249638
5.1,-0.2251228
5.11,-0.2254168
5.12,-0.2254963
5.13,-0.225234
5.14,-0.2249161
5.15,-0.2247651
5.16,-0.2248843
5.17,-0.2252261
5.18,-0.2254804
5.19,-0.2254168
5.2,-0.2250751
5.21,-0.2248367
5.22,-0.2249638
5.23,-0.2252817
5.24,-0.2254168
5.25,-0.2253056
5.26,-0.2251466
5.27,-0.2252102
5.28,-0.2254725
5.29,-0.2256314
5.3,-0.2255678
5.31,-0.2254089
5.32,-0.2252976
5.33,-0.2252102
5.34,-0.225234
5.35,-0.2252976
5.36,-0.2252817
5.37,-0.2251228
5.38,-0.2248764
5.39,-0.2246857
5.4,-0.2248049
5.41,-0.2251863
5.42,-0.2254327
